route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
AKA2DA-Titas Commuter,BDR,33,Titas Commuter,,2,,,
AKA2SYT-Kushiara Express,BDR,17,Kushiara Express,,2,,,
AKA2SYT-Sylhet Comuter,BDR,93,Sylhet Comuter,,2,,,
BAH2DABB-Bhrammaputra Express,BDR,744,Bhrammaputra Express,,2,,,
BAH2DABB-Tista Express,BDR,708,Tista Express,,2,,,
BBE2CTG-Mymensingh Express,BDR,38,Mymensingh Express,,2,,,
BBE2MYM-Dholesssory Express,BDR,76,Dholesssory Express,,2,,,
BHRA2DA-Titas Commuter,BDR,35,Titas Commuter,,2,,,
BOG2CHr-Dulonchapa Express,BDR,767,Dulonchapa Express,,2,,,
BON2DIN-Ramsagor Express,BDR,59,Ramsagor Express,,2,,,
BUR2LAL-Burimari Comuter-2,BDR,66,Burimari Comuter-2,,2,,,
BUR2LAL-Burimari Comuter-4,BDR,72,Burimari Comuter-4,,2,,,
CHA2DA-Local,BDR,211,Local,,2,,,
CHA2DA-N.Gong Comuter,BDR,209,N.Gong Comuter,,2,,,
CLH2AUP-Titumir Express,BDR,734,Titumir Express,,2,,,
CLH2PBT-Chilahati Express,BDR,28,Chilahati Express,,2,,,
CML2DA-Comilla Comuter,BDR,89,Comilla Comuter,,2,,,
CML2KCPR-Chandpur Comuter,BDR,84,Chandpur Comuter,,2,,,
CML2SNP-Noakhali Comuter,BDR,88,Noakhali Comuter,,2,,,
CNBJ2RJHI-Rajshahi Comuter,BDR,58,Rajshahi Comuter,,2,,,
CNBJ2SIR-Rajshahi Express,BDR,6,Rajshahi Express,,2,,,
CTG2BBE-Mymensingh Express,BDR,37,Mymensingh Express,,2,,,
CTG2CTU-,BDR,131,CTG2CTU-,,2,,,
CTG2DA-Chattala Express,BDR,67,Chattala Express,,2,,,
CTG2DA-Dhaka Mail,BDR,1,Dhaka Mail,,2,,,
CTG2DA-Karnaphuli Express,BDR,3,Karnaphuli Express,,2,,,
