trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
33,05:00:00,05:00:00,AKA,1,,0,0,0.0
33,05:28:00,05:28:00,BHRA,2,,0,0,0.0
33,05:56:00,05:56:00,BCI,3,,0,0,0.0
33,06:47:00,06:47:00,NRC,4,,0,0,0.0
33,08:00:00,08:00:00,DABB,5,,0,0,0.0
33,08:35:00,08:35:00,DA,6,,0,0,0.0
17,06:00:00,06:00:00,AKA,1,,0,0,0.0
17,08:27:00,08:27:00,SSJ,2,,0,0,0.0
17,09:39:00,09:39:00,SRG,3,,0,0,0.0
17,11:26:00,11:26:00,KAL,4,,0,0,0.0
17,13:00:00,13:00:00,SYT,5,,0,0,0.0
93,13:45:00,13:45:00,AKA,1,,0,0,0.0
93,15:22:00,15:22:00,SSJ,2,,0,0,0.0
93,16:06:00,16:06:00,SRG,3,,0,0,0.0
93,17:27:00,17:27:00,KAL,4,,0,0,0.0
93,19:10:00,19:10:00,SYT,5,,0,0,0.0
744,02:20:00,02:20:00,BAH,1,,0,0,0.0
744,02:50:00,02:50:00,DEW,2,,0,0,0.0
744,03:09:00,03:09:00,ISL,3,,0,0,0.0
744,03:32:00,03:32:00,MEL,4,,0,0,0.0
744,04:00:00,04:00:00,JML,5,,0,0,0.0
744,04:17:00,04:17:00,NAN,6,,0,0,0.0
744,05:20:00,05:20:00,MYM,7,,0,0,0.0
744,06:08:00,06:08:00,GAR,8,,0,0,0.0
744,07:50:00,07:50:00,DABB,9,,0,0,0.0
708,14:10:00,14:10:00,BAH,1,,0,0,0.0
708,14:40:00,14:40:00,DEW,2,,0,0,0.0
708,14:58:00,14:58:00,ISL,3,,0,0,0.0
708,15:19:00,15:19:00,MEL,4,,0,0,0.0
708,15:40:00,15:40:00,JML,5,,0,0,0.0
708,17:00:00,17:00:00,MYM,6,,0,0,0.0
708,17:48:00,17:48:00,GAR,7,,0,0,0.0
708,19:20:00,19:20:00,DABB,8,,0,0,0.0
38,00:45:00,00:45:00,BBE,1,,0,0,0.0
38,02:00:00,02:00:00,JAG,2,,0,0,0.0
38,02:45:00,02:45:00,TAR,3,,0,0,0.0
38,03:25:00,03:25:00,SRB,4,,0,0,0.0
38,04:40:00,04:40:00,JML,5,,0,0,0.0
38,06:45:00,06:45:00,MYM,6,,0,0,0.0
38,09:30:00,09:30:00,KIS,7,,0,0,0.0
38,11:40:00,11:40:00,BCI,8,,0,0,0.0
38,12:20:00,12:20:00,BHRA,9,,0,0,0.0
38,13:05:00,13:05:00,AKA,10,,0,0,0.0
38,14:42:00,14:42:00,CML,11,,0,0,0.0
38,15:30:00,15:30:00,LKM,12,,0,0,0.0
38,16:53:00,16:53:00,FNI,13,,0,0,0.0
38,20:25:00,20:25:00,CTG,14,,0,0,0.0
76,17:50:00,17:50:00,BBE,1,,0,0,0.0
76,22:30:00,22:30:00,MYM,2,,0,0,0.0
35,14:15:00,14:15:00,BHRA,1,,0,0,0.0
35,14:52:00,14:52:00,BCI,2,,0,0,0.0
