stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
AHG,,Ahasangonj,,24.62128,88.97661,,,0,
KOL,,Kolkata Chitpur,,22.601223,88.38411,,,0,
QSBA,,Kasba,,23.74027,91.15556,,,0,
MAI,,Maijdi Court,,22.86058,91.10547,,,0,
FNI,,Feni Junction,,23.013103,91.40318,,,0,
SHB,,Shahiji Bazar,,24.252785,91.38192,,,0,
PBT,,Parbatipur Junction,,25.648106,88.91783,,,0,
KLHI,,Kalukhali Junction,,23.768389,89.48051,,,0,
JS,,Jessore Junction,,23.170084,89.19075,,,0,
HL,,Hili,,25.278862,89.00724,,,0,
PDB,,Poradaha Junction,,23.862206,89.02804,,,0,
KCPR,,Chandpur Court,,23.225454,90.654976,,,0,
BOG,,Bogra,,24.84863,89.366646,,,0,
CTG,,Chittagong,,22.333963,91.82959,,,0,
MHZ,,Maijgaon,,24.685934,91.95241,,,0,
SDP,,Saidpur,,25.792562,88.89004,,,0,
GAI,,Gaibandha,,25.33231,89.542465,,,0,
DEW,,Dewangonj,,25.156956,89.75662,,,0,
KHL,,Kholahati,,25.65645,88.974945,,,0,
ISB,,Ishardi Bypass,,24.15515,89.057755,,,0,
GLB,,Goalanda Bazar,,23.723904,89.76413,,,0,
LKM,,Laksham Junction,,23.248684,91.12303,,,0,
NOP,,Nowapara,,24.179668,91.35683,,,0,
LAL,,Lalmonirhat Junction,,25.912626,89.44537,,,0,
AKA,,Akhaura,,23.871346,91.20588,,,0,
SAD,,Sadanandapur,,24.398678,89.68629,,,0,
ADG,,Alamdanga,,23.760376,88.935486,,,0,
AZPR,,Azampur,,23.892332,91.22056,,,0,
DIN,,Dinajpur,,25.624702,88.6324,,,0,
DOH,,Dohazari,,22.162228,92.069916,,,0,
KAS,,Kashiani,,23.23475,89.726456,,,0,
BAM,,Bamandanga,,25.532797,89.4442,,,0,
KUL,,Kuliarchar,,24.15109,90.92871,,,0,
CHr,,Chirirbandar,,25.647318,88.77973,,,0,
BAH,,Bahadurabad Ghat,,25.166174,89.7357,,,0,
JYR,,Joydevpur Junction,,23.997883,90.420006,,,0,
JAG,,Jagannathganj Ghat,,24.641743,89.80858,,,0,
FUL,,Fulbari,,25.507612,88.96569,,,0,
TAR,,Tarakandi,,24.686232,89.82469,,,0,
BYM,,Bheramara,,24.02029,88.99284,,,0,
BAD,,Badarganj,,25.707127,89.180824,,,0,
SHO,,Sholashohor,,22.368467,91.82658,,,0,
AZGR,,Azim Nagar,,24.204172,89.007996,,,0,
BRBE,,Baral Bridge,,24.215092,89.3816,,,0,
CHT,,Chatmohar,,24.188753,89.27557,,,0,
BCI,,Bhairab Bazar Junction,,24.050245,90.97842,,,0,
HPX,,Hararshpur,,24.016628,91.309875,,,0,
ISL,,Islampur Bazar,,25.0778,89.791626,,,0,
JML,,Jamalpur Junction,,24.916069,89.95118,,,0,
SRD,,Sardah,,24.337292,88.752525,,,0,
RJHI,,Rajshahi,,24.375004,88.60857,,,0,
DA,,Dhaka,,23.733072,90.42613,,,0,
