trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
33,AKA2DA-Titas Commuter,every_day,Dhaka,,0,,,0
17,AKA2SYT-Kushiara Express,every_day,Sylhet,,0,,,0
93,AKA2SYT-Sylhet Comuter,not_friday,Sylhet,,0,,,0
744,BAH2DABB-Bhrammaputra Express,every_day,Dhaka Bimanbander,,0,,,0
708,BAH2DABB-Tista Express,not_monday,Dhaka Bimanbander,,0,,,0
38,BBE2CTG-Mymensingh Express,every_day,Chittagong,,0,,,0
76,BBE2MYM-Dholesssory Express,every_day,Mymensingh Junction,,0,,,0
35,BHRA2DA-Titas Commuter,not_friday,Dhaka,,0,,,0
767,BOG2CHr-Dulonchapa Express,every_day,Chirirbandar,,0,,,0
59,BON2DIN-Ramsagor Express,every_day,Dinajpur,,0,,,0
66,BUR2LAL-Burimari Comuter-2,every_day,Lalmonirhat Junction,,0,,,0
72,BUR2LAL-Burimari Comuter-4,every_day,Lalmonirhat Junction,,0,,,0
211,CHA2DA-Local,every_day,Dhaka,,0,,,0
213,CHA2DA-Local,every_day,Dhaka,,0,,,0
215,CHA2DA-Local,every_day,Dhaka,,0,,,0
217,CHA2DA-Local,every_day,Dhaka,,0,,,0
219,CHA2DA-Local,every_day,Dhaka,,0,,,0
221,CHA2DA-Local,every_day,Dhaka,,0,,,0
225,CHA2DA-Local,every_day,Dhaka,,0,,,0
227,CHA2DA-Local,every_day,Dhaka,,0,,,0
229,CHA2DA-Local,every_day,Dhaka,,0,,,0
231,CHA2DA-Local,every_day,Dhaka,,0,,,0
233,CHA2DA-Local,every_day,Dhaka,,0,,,0
235,CHA2DA-Local,every_day,Dhaka,,0,,,0
237,CHA2DA-Local,every_day,Dhaka,,0,,,0
209,CHA2DA-N.Gong Comuter,every_day,Dhaka,,0,,,0
223,CHA2DA-N.Gong Comuter,every_day,Dhaka,,0,,,0
239,CHA2DA-N.Gong Comuter,every_day,Dhaka,,0,,,0
734,CLH2AUP-Titumir Express,not_wednesday,Abdulpur Junction,,0,,,0
28,CLH2PBT-Chilahati Express,every_day,Parbatipur Junction,,0,,,0
89,CML2DA-Comilla Comuter,not_friday,Dhaka,,0,,,0
84,CML2KCPR-Chandpur Comuter,not_friday,Chandpur Court,,0,,,0
88,CML2SNP-Noakhali Comuter,not_friday,Sonapur,,0,,,0
58,CNBJ2RJHI-Rajshahi Comuter,every_day,Rajshahi,,0,,,0
6,CNBJ2SIR-Rajshahi Express,every_day,Sirajganj,,0,,,0
37,CTG2BBE-Mymensingh Express,every_day,Bangabandhu Setu East,,0,,,0
131,CTG2CTU-,every_day,Chittagong University,,0,,,0
133,CTG2CTU-,every_day,Chittagong University,,0,,,0
139,CTG2CTU-,every_day,Chittagong University,,0,,,0
141,CTG2CTU-,every_day,Chittagong University,,0,,,0
143,CTG2CTU-,every_day,Chittagong University,,0,,,0
67,CTG2DA-Chattala Express,not_tuesday,Dhaka,,0,,,0
1,CTG2DA-Dhaka Mail,every_day,Dhaka,,0,,,0
3,CTG2DA-Karnaphuli Express,every_day,Dhaka,,0,,,0
703,CTG2DABB-Mohanagar Ghuduli,every_day,Dhaka Bimanbander,,0,,,0
721,CTG2DABB-Mohanagar Provati,not_sunday,Dhaka Bimanbander,,0,,,0
701,CTG2DABB-Shubarno Express,not_friday,Dhaka Bimanbander,,0,,,0
741,CTG2DABB-Turna,every_day,Dhaka Bimanbander,,0,,,0
111,CTG2DOH-,every_day,Dohazari,,0,,,0
CTG-commuter-3,CTG2JAH-,every_day,Janali Hat,,0,,,0
CTG-commuter-1,CTG2JAH-,every_day,Janali Hat,,0,,,0
729,CTG2KCPR-Meghna Express,every_day,Chandpur Court,,0,,,0
29,CTG2KCPR-Sagarika Express,every_day,Chandpur Court,,0,,,0
79,CTG2LKM-Laksam Comuter,not_friday,Laksham Junction,,0,,,0
719,CTG2MHZ-Pararika Express,not_monday,Maijgaon,,0,,,0
723,CTG2MHZ-Udayan Express,not_saturday,Maijgaon,,0,,,0
13,CTG2SYT-Jalalabad Express,every_day,Sylhet,,0,,,0
136,CTU2CTG-,every_day,Chittagong,,0,,,0
138,CTU2CTG-,every_day,Chittagong,,0,,,0
140,CTU2CTG-,every_day,Chittagong,,0,,,0
142,CTU2CTG-,every_day,Chittagong,,0,,,0
144,CTU2CTG-,every_day,Chittagong,,0,,,0
132,CTU2SHO-,every_day,Sholashohor,,0,,,0
134,CTU2SHO-,every_day,Sholashohor,,0,,,0
36,DA2AKA-Titas Commuter,every_day,Akhaura,,0,,,0
753,DA2AUP-Silkcity Express,not_sunday,Abdulpur Junction,,0,,,0
771,DA2BBE-Rangpur Express,not_sunday,Bangabandhu Setu East,,0,,,0
34,DA2BHRA-Titas Commuter,not_friday,Bramhonbaria,,0,,,0
212,DA2CHA-Local,every_day,Chasara,,0,,,0
214,DA2CHA-Local,every_day,Chasara,,0,,,0
216,DA2CHA-Local,every_day,Chasara,,0,,,0
218,DA2CHA-Local,every_day,Chasara,,0,,,0
220,DA2CHA-Local,every_day,Chasara,,0,,,0
222,DA2CHA-Local,every_day,Chasara,,0,,,0
226,DA2CHA-Local,every_day,Chasara,,0,,,0
228,DA2CHA-Local,every_day,Chasara,,0,,,0
230,DA2CHA-Local,every_day,Chasara,,0,,,0
232,DA2CHA-Local,every_day,Chasara,,0,,,0
234,DA2CHA-Local,every_day,Chasara,,0,,,0
236,DA2CHA-Local,every_day,Chasara,,0,,,0
238,DA2CHA-Local,every_day,Chasara,,0,,,0
210,DA2CHA-N.Gong Comuter,every_day,Chasara,,0,,,0
224,DA2CHA-N.Gong Comuter,every_day,Chasara,,0,,,0
240,DA2CHA-N.Gong Comuter,every_day,Chasara,,0,,,0
90,DA2CML-Comilla Comuter,not_friday,Comilla,,0,,,0
68,DA2CTG-Chattala Express,not_tuesday,Chittagong,,0,,,0
2,DA2CTG-Chittagong Mail,every_day,Chittagong,,0,,,0
4,DA2CTG-Karnaphuli Express,every_day,Chittagong,,0,,,0
702,DA2DABB-Shubarno Express,not_friday,Dhaka Bimanbander,,0,,,0
743,DA2DEW-Bhrammaputra Express,every_day,Dewangonj,,0,,,0
47,DA2DEW-Dewanganj Comuter,every_day,Dewangonj,,0,,,0
51,DA2DEW-Jamalpur Comuter,every_day,Dewangonj,,0,,,0
707,DA2DEW-Tista Express,not_monday,Dewangonj,,0,,,0
55,DA2DEW-Voyal Express,every_day,Dewangonj,,0,,,0
722,DA2FNI-Mohanagar Ghuduli,not_sunday,Feni Junction,,0,,,0
704,DA2FNI-Mohanagar Provati,every_day,Feni Junction,,0,,,0
742,DA2FNI-Turna,every_day,Feni Junction,,0,,,0
749,DA2GAC-Egarsindhur Ghoduli,every_day,Gachihata,,0,,,0
737,DA2GAC-Egarsindhur Provati,not_wednesday,Gachihata,,0,,,0
776,DA2ISH-Sirajgong Express,not_saturday,Ishardi Junction,,0,,,0
Turag 7,DA2JYR-Turag Express,every_day,Joydevpur Junction,,0,,,0
Turag 5,DA2JYR-Turag Express,every_day,Joydevpur Junction,,0,,,0
Turag 1,DA2JYR-Turag Express,every_day,Joydevpur Junction,,0,,,0
Turag 3,DA2JYR-Turag Express,every_day,Joydevpur Junction,,0,,,0
751,DA2KAU-Lalmoni Express,not_friday,Kaunia Junction,,0,,,0
712,DA2MAI-Upokul Express,not_tuesday,Maijdi Court,,0,,,0
717,DA2MHZ-Jayantika Express,every_day,Maijgaon,,0,,,0
709,DA2MHZ-Parabat Express,not_tuesday,Maijgaon,,0,,,0
739,DA2MHZ-Upoban Express,not_wednesday,Maijgaon,,0,,,0
777,DA2MOH-Haore Express,not_wednesday,Mohanganj,,0,,,0
43,DA2MOH-Mahua Express,every_day,Mohanganj,,0,,,0
49,DA2MYM-Balaka Comuter,every_day,Mymensingh Junction,,0,,,0
39,DA2MYM-Isakhan Express,every_day,Mymensingh Junction,,0,,,0
726,DA2NAP-Shundorban Epress,not_saturday,Noapara,,0,,,0
757,DA2PBT-Drutojan Express,not_wednesday,Parbatipur Junction,,0,,,0
705,DA2PBT-Ekota Express,not_tuesday,Parbatipur Junction,,0,,,0
769,DA2RJHI-Dhumketue Express,not_tuesday,Rajshahi,,0,,,0
5,DA2RJHI-Rajshahi Express,every_day,Rajshahi,,0,,,0
12,DA2SNP-Noakhali Express,every_day,Sonapur,,0,,,0
735,DA2SRB-Augnibina Express,every_day,Sarishabari,,0,,,0
745,DA2SRB-Jamuna Express,every_day,Sarishabari,,0,,,0
773,DA2SYT-Kalani Express,not_friday,Sylhet,,0,,,0
9,DA2SYT-Surma Mail,every_day,Sylhet,,0,,,0
3107/3110,DACT2KOL-Moitree Express,every_day,Kolkata Chitpur,,0,,,0
764,DACT2NAP-Chitra Express,not_monday,Noapara,,0,,,0
765,DACT2SDP-Nilsagor,not_monday,Saidpur,,0,,,0
759,DACT2SRD-Padma Express,not_tuesday,Sardah,,0,,,0
48,DEW2DA-Dewanganj Comuter,every_day,Dhaka,,0,,,0
52,DEW2DA-Jamalpur Comuter,every_day,Dhaka,,0,,,0
56,DEW2DA-Voyal Express,every_day,Dhaka,,0,,,0
60,DIN2BON-Ramsagor Express,every_day,Bonarpara,,0,,,0
758,DIN2DABB-Drutojan Express,not_wednesday,Dhaka Bimanbander,,0,,,0
706,DIN2DABB-Ekota Express,not_monday,Dhaka Bimanbander,,0,,,0
62,DIN2LAL-Dinajpur Comuter,every_day,Lalmonirhat Junction,,0,,,0
768,DIN2SNT-Dulonchapa Express,every_day,Sonotala,,0,,,0
112,DOH2CTG-,every_day,Chittagong,,0,,,0
54,DSNJ2KLNJ-Benapol Commuter,every_day,Khulna,,0,,,0
755,GLB2ISH-Modhumoti Express,not_friday,Ishardi Junction,,0,,,0
26,GLB2KLNJ-Nakshikantha Express,every_day,Khulna,,0,,,0
775,ISH2DA-Sirajgong Express,not_saturday,Dhaka,,0,,,0
57,ISH2RJHI-Rajshahi Comuter,every_day,Rajshahi,,0,,,0
CTG-commuter-2,JAH2CTG-,every_day,Chittagong,,0,,,0
CTG-commuter-4,JAH2CTG-,every_day,Chittagong,,0,,,0
3108,JYR2DA-Maitree Express,every_day,Dhaka,,0,,,0
Turag 8,JYR2DA-Turag Express,every_day,Dhaka,,0,,,0
Turag 4,JYR2DA-Turag Express,every_day,Dhaka,,0,,,0
Turag 2,JYR2DA-Turag Express,every_day,Dhaka,,0,,,0
Turag 6,JYR2DA-Turag Express,every_day,Dhaka,,0,,,0
3107,JYR2KOL-Maitree Express,every_day,Kolkata Chitpur,,0,,,0
91,JYR2MYM-Mymensingh Comuter,not_friday,Mymensingh Junction,,0,,,0
81,KCPR2CML-Chandpur Comuter,not_friday,Comilla,,0,,,0
83,KCPR2CML-Chandpur Comuter,not_friday,Comilla,,0,,,0
30,KCPR2CTG-Sagarika Express,every_day,Chittagong,,0,,,0
730,KCPR2FNI-Meghna Express,every_day,Feni Junction,,0,,,0
